Timestamp,Gender,Work Sector,Educational Qualification,Age range,Do you have a permanent voters card?,Are you likely to vote when there is electoral violence around you?,"Are you likely to prevent a ""female"" loved one from going to vote after violence occurs?","Do you believe that violence deters women from participating in political activities such as rallies, elections, and campaigns?","In your opinion, does violence impact the confidence of women in engaging in political activities?",Did you vote in 2023 General Elections?,"If No, why not?",Have you ever witnessed any form of electoral violence during elections?,Have you ever witnessed any form of harassment on social media?
04/14/2024  05:35:18,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/14/2024  19:57:37,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,No,No,Yes,Others,No,Yes
04/14/2024  20:16:09,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/14/2024  21:50:30,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Uncertain,Uncertain
04/14/2024  22:04:48,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,No
04/14/2024  03:04:27,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Uncertain,Yes,Yes,Others,Yes,Yes
04/14/2024  04:13:29,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/14/2024  11:24:45,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/14/2024  10:43:46,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,No,No,Yes,Others,Uncertain,No
04/14/2024  10:52:57,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/14/2024  11:03:39,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/14/2024  11:24:32,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,No,Yes,No,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/14/2024  11:26:26,Female,"Informal Sector (Artisans, Traders)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,No
04/14/2024  11:41:41,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/14/2024  11:43:20,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
04/14/2024  11:49:34,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,No,Yes,Yes,Yes,Others,Yes,Yes
04/14/2024  11:50:34,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,Yes
04/14/2024  11:51:43,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,No,Yes,Yes,Yes,Others,No,Yes
04/14/2024  11:55:04,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Uncertain
04/14/2024  11:57:24,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,No
04/14/2024  11:57:51,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/14/2024  11:58:40,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/14/2024  11:59:40,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,Yes,Yes,Yes,Yes,Yes,Electoral Violence,Yes,Yes
04/14/2024  14:10:13,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,Yes,Yes,Yes,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/14/2024  14:39:27,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",18-30,No,No,Yes,Yes,No,No,No PVC,No,No
04/14/2024  15:34:55,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/14/2024  19:26:20,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,No,No,No,Yes,Others,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,No,No,No,Others,Uncertain,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",31-40,No,Yes,Yes,Uncertain,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,No,No,Yes,Yes,Yes,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Uncertain,Yes,Uncertain,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,60 and above,No,No,Yes,Yes,No,No,No PVC,No,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,No,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",41-50,No,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",No,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,No,Yes,Yes,No,Electoral Violence,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,No,No,Yes,No,No,No,No PVC,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)",Postgraduate,31-40,Yes,No,Yes,No,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,No,No,Yes,Yes,Yes,No,Others,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,Yes,No,No,Others,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Uncertain,Yes,Yes,Yes,Yes,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,No,No,No,No,No,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)",Btech,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,Yes,No,No,Uncertain,No,"Unavailable  (distance, health issues)",Yes,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
,Male,"Informal Sector (Artisans, Traders)",SSCE and below,41-50,No,No,No,No,No,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,No,No,Others,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,51-60,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Mbbs in view,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,60 and above,Yes,No,Yes,Yes,Uncertain,Yes,Others,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,Yes,No,No PVC,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Uncertain,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Uncertain,Yes,Yes,Others,Uncertain,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,No,No,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,Uncertain,Yes,Yes,Yes,No,No PVC,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,No,Yes,Uncertain,Uncertain,No,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,No
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,Yes,Yes,Others,No,Yes
,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,Yes,Yes,Uncertain,No,Yes,Yes,"Unavailable  (distance, health issues)",No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,Uncertain,Yes,Uncertain,Uncertain,No,Electoral Violence,Yes,No
,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,No,No,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,No,Uncertain,No,Electoral Violence,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",Yes,Uncertain
,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,No,Yes,Yes,Yes,Yes,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)",Undergraduate ,18-30,No,No,Yes,Yes,No,No,Electoral Violence,Yes,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,Yes,Yes,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,No,No,Yes,Others,No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Uncertain,Uncertain
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,Yes,No,Yes,Yes,Yes,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Uncertain,Yes,Yes,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,60 and above,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,No,No,Yes,Others,Uncertain,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,No,No,Yes,No,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Male,"Informal Sector (Artisans, Traders)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,No,Yes,Yes,Yes,Others,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,No,Yes,Yes,Yes,Others,No,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Uncertain
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,Yes,Yes,Yes,Yes,Yes,Electoral Violence,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,Yes,Yes,Yes,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",51-60,No,No,Yes,Yes,No,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,Yes,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,Yes,Yes,No,No,No,Yes,Others,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,No,No,No,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,41-50,Yes,No,No,No,No,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,Others,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,41-50,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,51-60,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Mbbs in view,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Uncertain,Yes,Others,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Uncertain,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,Uncertain,Yes,Yes,Others,Uncertain,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,No,No,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,No,Uncertain,Yes,Yes,Yes,No,No PVC,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Uncertain,Uncertain,No,Others,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,Yes,Yes,Others,No,Yes
,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,Yes,Yes,Uncertain,No,Yes,Yes,"Unavailable  (distance, health issues)",No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,No PVC,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Uncertain,Yes,Uncertain,Uncertain,No,Electoral Violence,Yes,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,Others,No,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,No,No,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",51-60,Yes,No,Yes,No,Uncertain,No,Electoral Violence,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",Yes,Uncertain
,Female,"Informal Sector (Artisans, Traders)","ND, NCE",51-60,Yes,Yes,Yes,Yes,Yes,No,No PVC,No,No
,Female,"Informal Sector (Artisans, Traders)",Undergraduate ,18-30,Yes,No,Yes,Yes,No,No,Electoral Violence,Yes,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,No,Yes,Yes,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,No,No,Yes,Others,No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Uncertain,Uncertain
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Uncertain,Yes,Yes,Others,Yes,Yes
,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",51-60,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,No,No,No,Others,Uncertain,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",18-30,No,Yes,Yes,Uncertain,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,Yes
,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Uncertain,Yes,Uncertain,Yes,No,"Unavailable  (distance, health issues)",No,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,Yes
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,No,No,No PVC,No,Yes
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,No,No
,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,No PVC,No,No
,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",No,No
,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,No,Yes,Yes,No,Electoral Violence,No,No
